ID,fra
0,c est aussi ce que je pense
1,c est ce que nous appelons un pionnier
2,c est difficile de te comprendre
3,c est difficile de travailler avec toi
4,c est fini pour aujourd hui
5,c est l homme que je veux
6,c est la premiere fois que je me marie
7,c est le plus age des deux
8,c est ma petite amie
9,c est moi le patron
10,c est moi le patron maintenant
11,c est moi le patron non ?
12,c est moi qui ai demande de l aide
13,c est moi qui ai fait ca
14,c est moi qui devrais faire ceci
15,c est moi qui en suis responsable
16,c est moi qui suis malade
17,c est moi qui suis mauvais
18,c est moi qui suis responsable de tout ca
19,c est mon demi frere
20,c est mon prof
21,c est nouveau pour moi
22,c est precisement l homme que nous cherchons
23,c est toi l expert
24,c est toi l ingenieur
25,c est toi le chef maintenant
26,c est toi qui as cherche la bagarre
27,c est toi qui es responsable
28,c est toi qui l es !
29,c est toi qui m as dit ca
30,c est un amoureux des chats
31,c est un bon menteur
32,c est un celebre chanteur populaire au japon
33,c est un citoyen chinois
34,c est un citoyen de chine
35,c est un conducteur tres prudent
36,c est un dur a cuire
37,c est un genie des mathematiques
38,c est un grand garcon
39,c est un homme a l esprit vif
40,c est un homme grossier
41,c est un homme mal eleve
42,c est un homme simple
43,c est un inconditionnel du foot
44,c est un journaliste
45,c est un mec bien
46,c est un peu un lache
47,c est un tres bon medecin
48,c est un type cruel
49,c est un veritable ange elle
50,c est un veritable idiot
51,c est un veritable imbecile
52,c est un vrai gentleman
53,c est une bonne amie a moi
54,c est une bonne joueuse de tennis
55,c est une epouse merveilleuse
56,c est une excellente eleve
57,c est une personne tres importante
58,c est vous l experte
59,c est vous l ingenieur
60,c est vous qui en etes responsable
61,c est vous qui m avez dit cela
62,c est vraiment un mec bien
63,ca m amuse
64,ca m interesse aussi
65,ca me fait plaisir de pouvoir t aider
66,ca me fait tellement plaisir que tu sois la
67,ca me fait tellement plaisir que vous soyez la
68,ca me rejouit de vous rencontrer
69,ca ne va pas le faire
70,ca te plaira
71,ce n est pas a toi que je parle
72,ce n est pas a vous que je parle
73,ce n est pas ce que je demande
74,ce n est pas de sa faute
75,ce n est pas mon genre
76,ce n est pas un ami mais une connaissance
77,ce n est pas un inconnu pour moi
78,ce ne sont pas des gens bien
79,ce ne sont pas des medecins
80,ce ne sont pas mes livres
81,ce ne sont que des enfants riches
82,ce que tu dis n a aucun sens
83,ce que tu penses ne m interesse pas
84,ce que vous pensez ne m interesse guere
85,ce sont de bons amies a nous
86,ce sont de bons amis a moi
87,ce sont de bons amis a nous
88,ce sont des amis
89,ce sont des amis a moi
90,ce sont des enfants normaux
91,ce sont des femmes
92,ce sont des professeurs de francais
93,ce sont des ufs
94,ce sont les meilleures amies
95,ce sont les meilleurs amis
96,ce sont les seules etudiantes qui etudient le chinois
97,ce sont les seuls etudiants qui etudient le chinois
98,ce sont mes s urs
99,ce sont nos amis
100,ce sont tes amis pas les miens
101,cela ne me preoccupe pas trop
102,ces histoires m interessent beaucoup
103,cet endroit va vraiment me manquer
104,cette histoire m interesse
105,cette maison va vraiment me manquer
106,chat !
107,content de t aider
108,content de te voir tom
109,contente de te voir tom
110,demain on part
111,desole d appeler si tard
112,desole de t avoir fait peur
113,desole de vous avoir fait peur
114,desole de vous interrompre
115,desole j ai oublie
116,desole je ne peux pas faire ca
117,desole mais je dois y aller
118,desole pour ca
119,desole pour le derangement
120,desolee de t avoir fait peur
