ID,TARGET
0,that s as i think as i think 
1,that s what we call a pion 
2,it s hard to understand you 
3,it s hard to work with you 
4,it s finished for hudymous today 
5,he is the man i want 
6,this is the first time i got married 
7,this is the age of the two 
8,this is my girlfriend 
9,i m the boss 
10,i m the boss now 
11,is this my boss isn t i? 
12,i m the one who asked for help 
13,i did that 
14,i m the one who should do this 
15,i m the one who s responsible for it 
16,i m the one who s sick 
17,i m the one who s bad 
18,i m the one who s responsible for all this 
19,this is my brother half 
20,this is my teacher 
21,it s new for me 
22,he s just the man we re looking for 
23,you re the expert 
24,you re the engineer 
25,you re the leader now 
26,you re the one who looked up 
27,you re the one who are responsible 
28,you re the one 
29,you re the one who told me that 
30,he is a love of cats 
31,he s a good liar 
32,he is a famous popular singer in japan 
33,he is a chinese citizen 
34,he is a citizen of china 
35,he is a very careful driver 
36,it s a tough bargain 
37,he is a genius 
38,he is a big boy 
39,he is a man at the crew 
40,he is a big man 
41,he is a man of a student 
42,he is a simple man 
43,it s a soccer fan 
44,this is a journalist 
45,he is a good person 
46,it s a little coward 
47,he is a very good doctor 
48,he s a cruel guy 
49,she is a real angel 
50,it s a real fool 
51,it s a real island 
52,he is a real gentleman 
53,this is a good friend of mine 
54,he is a good tennis player 
55,she is a wonderful woman 
56,he is a great student 
57,she is a very important person 
58,you re the edge 
59,you re the engineer 
60,you re the one who s responsible for it 
61,you re the one who told me that 
62,he is a really good person 
63,i had a good time 
64,that s so interested in me 
65,it makes me help you 
66,i enjoy you being here 
67,i enjoy you being here 
68,it s been looking forward to meeting you 
69,it s not going to do it 
70,it looks like you 
71,you re not talking to me 
72,it s not you i m talking to you 
73,that s not what i m asking for 
74,it s not his fault 
75,that s not my type 
76,he s not a friend but a know 
77,it s not a stranger for me 
78,they re not good people 
79,they re not doctors 
80,they re not my books 
81,they are just rich 
82,what you say is no sense 
83,what you think is not interested in me 
84,what you think is not interested in me 
85,they are good friends at us 
86,they are good friends to me 
87,they are good friends at us 
88,they re friends 
89,they are friends with me 
90,they are normal children 
91,they re women 
92,they are french teachers 
93,they re eggs 
94,they are the best friends 
95,they are the best friends 
96,they are the only students who study chinese 
97,they are the only students who study chinese 
98,they re my sons 
99,they re our friends 
100,they are your friends 
101,i don t care too much 
102,these stories are very interested in those 
103,this place is really up to me 
104,this story is interested in me 
105,this house is really up to me 
106,you re a cat 
107,just help yourself 
108,just do tom s happy to see you 
109,just do tom s happy to see you 
110,tomorrow is all over 
111,sorry to call up so late 
112,sorry i m afraid of being scared 
113,sorry i m scared to be scared 
114,sorry to interrupt 
115,i m sorry i forgot 
116,sorry i can t do that 
117,sorry but i have to go 
118,sorry about that 
119,sorry for the interciience 
120,sorry i m afraid of being scared 
121,sorry i can t do that 
122,she s five years old 
123,she s two years younger than him 
124,she s at seven years old 
125,she is looking forward to seeing him again 
126,she is used to speaking in public 
127,she has the word with her 
128,she is afraid of her own shad 
129,she worked all day 
130,she is very afraid of snakes 
131,she has a cat in that white cat 
132,she likes dogs very much 
133,she sings pretty well 
134,she is looking for the wallet that she lost 
135,she is starting to play the piano 
136,she knows the subject well 
137,she keeps it 
138,she s getting red 
139,she is equal right now 
140,she s mine 
141,she is an american 
142,she s blonde 
143,she s already back 
144,she is two years younger than he is 
145,she is at the meeting 
146,she is washing the car 
147,she is a university student 
148,she is french 
149,she s kind to him 
150,she is looking forward to seeing him again 
151,she s independen 
152,she is interested in learning new ideas 
153,she s lazy 
154,she s smarter than me 
155,she is popular with others 
156,she is in a hurry because she is late 
157,she s a little shy 
158,she is very innocent 
159,she is very sensitive to criticism 
160,she s a bit shy 
161,she s really cute 
162,she was supposed to go back before lunch 
163,she makes progress in english 
164,she plays my opinion 
165,she helps him 
166,she kissed him 
167,she s teaching french 
168,she has nothing to blame 
169,she s not as tall as he is 
170,she s not one of the edges 
171,she is not the kind of lying 
172,she is not always late 
173,she s not very cheerful 
174,she is not what she was 
175,she won t explain it to them 
176,she talks 
177,she is wearing a white dress today 
178,she is busy children at home 
179,she always complaining about my weak salary 
180,she will have a baby this month 
181,she will be a lot to miss me 
182,she is well there 
183,they re waiting for something 
184,they re doing a good job 
185,they re not afraid of anything 
186,they re not good 
187,they re about the same age 
188,they re all very hungry 
189,they re talking about what they ll sing 
190,they re talking about you 
191,they re talking about you 
192,they re friends 
193,they re after you 
194,they re after you 
195,they re stuck 
196,they re outside 
197,they re behind us 
198,they are crazy about jazz 
199,they re tough 
200,they re scared 
201,they re upstairs 
202,they re late as usual 
203,they re safe 
204,they are generated with their money 
205,they re awesome 
206,they re involved 
207,they re worried 
208,they re interested 
209,they re unneneaky 
210,they re twins 
211,they are free to go 
212,they re now alone 
213,they re wonderful 
214,they re lazy 
215,they re trapped 
216,they re faster than us 
217,they re tough 
218,they both are beautiful 
219,they re all very busy 
220,they re too dangerous 
221,they re really good 
222,they re smiling 
223,they both smiling 
224,they work 
225,they re going to do it in our place 
226,they re going to do it for us 
227,they re going to find you 
228,they re going to find you 
229,they are looking at you 
230,i m afraid of a little afraid 
231,you re mistaken 
232,i m sorry i have to go 
233,excuse me for that 
234,i m sorry 
235,excuse me but i don t understand 
236,excuse me but i think you re wrong 
237,we re all canadian here 
238,he s older than she is 
239,he has prejudiced against her 
240,he has prejudiced on her 
241,he s ten years older than you 
242,he has a better treatment 
243,he did his homework 
244,he s old to be your father 
245,he is accustomed to eating the waitress 
246,he is used to speaking in public 
247,he is afraid of that dog 
248,he has more strengths than me 
249,he has something unconscious 
250,he s three years older than she is 
251,he loves to drawer 
252,he loves playing tennis 
253,he likes to play tennis 
254,he is waiting for the bus stop 
255,he runs fast 
256,he eats lunch at that time 
257,he s getting blind 
258,he listens to the news to the radio 
259,he trained a horse for a race 
260,he is both fat and fat 
261,he s mine 
262,he is active in teaching 
263,he s aggressive 
264,he has been in bed for four days 
265,he is lying on the bench 
266,he is english but lives in india 
267,he s older than she is 
268,he is rich enough to buy the painting 
269,he is as old as my father 
270,he is as tall as my brother 
271,he is as tall as my father 
272,he s a lot taller than me 
273,he is well known in our country 
274,he s a lot better than you 
275,he is good at telling jokes 
276,he is british 
277,he is capable of teaching french 
278,he s what you call a ambululous dictionary 
279,he is capable of english as a teacher 
280,he is a bus driver 
281,he is confronted with a difficult problem 
282,he is known in the world 
283,he is three years older than she is 
284,it s already too far to hear us 
285,he is determined to go to england 
286,it s twice as old as i am 
287,he s angry with me 
288,he is eating an apple 
289,he s still too young for the job 
290,he is extremely polite 
291,he is financially independent of his parents 
292,he s mad at you 
293,he s awesome 
294,he is a juisteredian 
295,he is unable to drive a car 
296,he is interested in many things 
297,he s right behind me 
298,he s my life s love 
299,he is the baby of the family 
300,he is the oldest son 
301,he is the only son of a family fortune 
302,he is the father of three children 
303,he s the brightest of the class 
304,he s skinny 
305,he s now as tall as his father 
306,he is married and two children 
307,he is married and three children 
308,he is a doctor 
309,he is less impatient than his father 
310,he s less intelligent than me 
311,he s less intelligent than his older brother 
312,it s sometimes weird 
313,it s sometimes weird 
314,he left on trip 
315,he s lazy and stupid 
316,she is older than three years 
317,he s taller than me 
318,he is taller than his father 
319,he s smarter than wis 
320,he is older than she is old 
321,he s older than me for two years 
322,he s kind of bad at tennis 
323,he is prisoner but innocent 
324,it s likely that he will come 
325,he s probably alive 
326,he s probably alive 
327,he is rich and i m poor 
328,he s satisfied with his fate 
329,he often is late for school 
330,he is often late for work 
331,he s about to go out 
332,he s always happy 
333,he is always kind to animals 
334,he is always punctual in his appointments 
335,he s anything but an idiot 
336,he s all but an idiot 
337,he is very friendly today 
338,he is very friendly to us 
339,he s very beautiful 
340,he s very curious 
341,it s very difficult to table 
342,he s very kind to me 
343,he s very shy 
344,he is too proud to give up 
345,he is too proud to drop 
346,he is too honest to tell lies 
347,he s too cute 
348,he is too old to try this 
349,he is a good writer 
350,he s a little like his father 
351,he is really evulated to math 
352,he read a book in his room 
353,he s a mastering the new tech tech techcial 
354,he s short of money 
355,he always fails money 
356,he is not scared of anyone 
357,he didn t make a word 
358,he is not qualified for this job 
359,he s not stupid 
360,he is not equal to teach him 
361,he is not what he was 
362,he s not in business anymore 
363,he s not angry anymore 
364,he is not a member of our club 
365,he is no longer a boy 
366,he is only president to call 
367,he doesn t cut anyone 
368,we re only staying 
369,he speaks french fluently 
370,he speaks french fluently 
371,he speaks french fluently 
372,he is losing his hair 
373,he can speak japanese 
374,he always asks stupid questions 
375,he asks all the time of stupid questions 
376,he s staying at home 
377,he is used to that situation 
378,he s familiar with the situation 
379,he s so cute together 
380,he fell 
381,he works in a bank 
382,he will study english next week 
383,i just need you to trust me 
384,i ll need more time than that 
385,he will come and see me tomorrow after noon 
386,they re waiting 
387,they re talking about what they ll sing 
388,they re doing what they can 
389,they part of a soccer team 
390,they make a good job 
391,they have no suspects 
392,they re not afraid of anything 
393,they have only the same of them 
394,they re only doing their work 
395,they re not good 
396,they re not like us 
397,they re not here 
398,they re not going to give you this job 
399,they have beautiful life 
400,they are afraid of what could happen 
401,they re afraid of what could happen 
402,they re wrong 
403,they re all afraid of you 
404,they re all very hungry 
405,they are thirty minutes late on schedule 
406,they re talking about you 
407,they re talking about you 
408,they re yours 
409,they re friends 
410,they re after you 
411,they re after you 
412,they re as tired as we are 
413,they re weird 
414,they re good 
415,they re canadians 
416,they re stuck 
417,they are in the kitchen 
418,they re inside 
419,they re behind us 
420,they are different the day and night 
421,they are crazy about jazz 
422,they re tough 
423,they re scared 
424,they re on the way 
425,they are in favor of your plan 
426,they re upstairs 
427,they re late as usual 
428,they re on the way 
429,they re safe 
430,they re very good 
431,they re still available 
432,they are a french teacher 
433,they re engaged 
434,they are an emergency 
435,they re brothers 
436,they are generous with their money 
437,they re awesome 
438,they re fat 
439,they are looking forward to seeing you 
440,they re printed 
441,they re powerless 
442,they re worried 
443,they re interested 
444,they re unneneaky 
445,they re young 
446,they re twins 
447,they are here to protect you 
448,they re now alone 
449,they re married 
450,they re ugly 
451,they both died 
452,they re new 
453,they re trapped 
454,they are more or less height 
455,they re faster than us 
456,they re quick 
457,they are satisfied with your job 
458,they re separated 
459,they re always in the manager 
460,they are both good students 
461,they both are beautiful 
462,they re all their feet 
463,they re all very busy 
464,they re all alone 
465,they re very happy 
466,they re too dangerous 
467,they are too busy to talk to you now 
468,they re neighbors 
469,they re really good 
470,they both smiles 
471,they work 
472,they see their uncle tomorrow 
473,they re all right 
474,they re just going to the low store 
475,they re going to do it in our place 
476,they re going to do it for us 
477,they re going to kill me 
478,they re going to die 
479,they re going to take care of him 
480,they re going to find you 
